,LotArea,1stFlrSF,2ndFlrSF,GrLivArea,OpenPorchSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageArea,Street,SalePrice
0,11622,896,0,896,0,1,0,2,1,5,1961,1961,730.0,Pave,169277.0524984
1,14267,1329,0,1329,36,1,1,3,1,6,1958,1958,312.0,Pave,187758.393988768
2,13830,928,701,1629,34,2,1,3,1,6,1997,1998,482.0,Pave,183583.683569555
3,9978,926,678,1604,36,2,1,3,1,7,1998,1998,470.0,Pave,179317.47751083
4,5005,1280,0,1280,82,2,0,2,1,5,1992,1992,506.0,Pave,150730.079976501
5,10000,763,892,1655,84,2,1,3,1,7,1993,1994,440.0,Pave,177150.989247307
6,7980,1187,0,1187,21,2,0,3,1,6,1992,2007,420.0,Pave,172070.659229164
7,8402,789,676,1465,75,2,1,3,1,7,1998,1998,393.0,Pave,175110.956519547
8,10176,1341,0,1341,0,1,1,2,1,5,1990,1990,506.0,Pave,162011.698831665
9,8400,882,0,882,0,1,0,2,1,4,1970,1970,525.0,Pave,160726.247831419
10,5858,1337,0,1337,68,2,0,2,1,5,1999,1999,511.0,Pave,157933.279456005
11,1680,483,504,987,0,1,1,2,1,5,1971,1971,264.0,Pave,145291.245020389
12,1680,525,567,1092,0,1,1,3,1,6,1971,1971,320.0,Pave,159672.017631819
13,2280,855,601,1456,0,2,1,3,1,6,1975,1975,440.0,Pave,164167.518301885
14,2280,836,0,836,30,1,0,2,1,4,1975,1975,308.0,Pave,150891.638244053
15,12858,1627,707,2334,133,2,1,3,1,10,2009,2010,751.0,Pave,179460.96518734
16,12883,1544,0,1544,35,2,0,3,1,7,2009,2010,868.0,Pave,185034.62891405
17,11520,1698,0,1698,74,2,0,3,1,7,2005,2005,730.0,Pave,182352.192644656
18,14122,1822,0,1822,119,2,0,3,1,8,2005,2006,678.0,Pave,183053.458213802
19,14300,2696,0,2696,150,2,1,3,1,10,2003,2004,958.0,Pave,187823.339254278
20,13650,1687,563,2250,130,2,1,3,1,7,2002,2002,756.0,Pave,186544.114327568
21,7132,1370,0,1370,49,2,0,2,1,6,2006,2006,484.0,Pave,158230.77520516
22,18494,1324,0,1324,23,2,0,3,1,6,2005,2005,430.0,Pave,190552.829321091
23,3203,1145,0,1145,116,2,0,2,1,6,2006,2006,437.0,Pave,147183.67487199
24,13300,744,630,1374,0,2,1,3,1,7,2004,2004,400.0,Pave,185855.300905493
25,8577,847,886,1733,48,2,1,3,1,7,2004,2004,433.0,Pave,174350.470676986
26,17433,1645,830,2475,172,2,1,4,1,7,1998,1998,962.0,Pave,201740.620690863
27,8987,1595,0,1595,0,2,0,2,1,6,2005,2006,880.0,Pave,162986.378895754
28,9215,1218,0,1218,136,2,0,2,1,4,2009,2010,676.0,Pave,162330.199085679
29,10440,1468,0,1468,102,2,0,2,1,6,2005,2005,528.0,Pave,165845.938616539
30,11920,831,828,1659,68,2,1,3,1,8,2004,2004,484.0,Pave,180929.622876974
31,9800,1012,0,1012,0,1,0,2,1,5,1920,1950,429.0,Pave,163481.501519718
32,15410,1494,0,1494,0,2,0,3,1,7,1974,2002,461.0,Pave,187798.076714233
33,13143,1251,1098,2349,130,2,1,4,1,9,1993,1993,762.0,Pave,198822.198942566
34,11134,1402,823,2225,30,2,1,4,1,7,1992,1993,713.0,Pave,194868.409899858
35,4835,1488,0,1488,50,2,0,2,1,6,2004,2005,506.0,Pave,152605.298564403
36,3515,840,840,1680,111,2,1,2,1,3,2004,2004,588.0,Pave,147797.702836811
37,3215,600,600,1200,172,2,1,2,1,4,2004,2004,480.0,Pave,150521.96899297
